Date,gain,total_gain
3/11/2026,0.0000,0.0000
3/12/2026,-0.0481,-0.0481
3/13/2026,-0.0074,-0.0552
3/16/2026,-0.0048,-0.0597
3/17/2026,0.0256,-0.0356
3/18/2026,-0.0296,-0.0641
3/19/2026,-0.0657,-0.1257
3/20/2026,0.0225,-0.1060
3/23/2026,0.0234,-0.0851
3/24/2026,-0.0088,-0.0932
3/25/2026,0.0184,-0.0765
3/26/2026,-0.0256,-0.1001
3/27/2026,0.0375,-0.0663
3/30/2026,-0.0302,-0.0945
3/31/2026,0.0296,-0.0677
4/1/2026,0.1107,0.0355
4/2/2026,-0.0531,-0.0194
4/3/2026,0.0152,-0.0045
4/6/2026,-0.0016,-0.0061
4/7/2026,-0.0189,-0.0249
4/8/2026,0.0437,0.0176
4/9/2026,-0.0299,-0.0128
4/10/2026,0.0148,0.0019
4/13/2026,-0.0265,-0.0246
4/14/2026,0.0137,-0.0112
4/15/2026,-0.0179,-0.0289
4/16/2026,0.0147,-0.0147
4/17/2026,-0.0060,-0.0205
4/21/2026,0.0129,-0.0079
4/22/2026,0.0120,0.0040
4/23/2026,-0.0079,-0.0040
4/24/2026,-0.0005,-0.0044
4/28/2026,0.0043,-0.0001
4/29/2026,-0.0021,-0.0023
5/4/2026,0.0319,0.0296
5/5/2026,0.0306,0.0611
5/6/2026,-0.0080,0.0526
5/7/2026,0.0340,0.0884
5/8/2026,-0.0216,0.0649
5/11/2026,0.0123,0.0779
5/12/2026,-0.0059,0.0716
5/13/2026,-0.0164,0.0540
5/14/2026,0.0141,0.0688
5/15/2026,-0.0030,0.0656
5/18/2026,0.0041,0.0699
5/19/2026,0.0201,0.0915
5/20/2026,-0.0247,0.0645
5/21/2026,-0.0020,0.0624
5/22/2026,-0.0208,0.0403
5/25/2026,-0.0038,0.0363
5/26/2026,-0.0074,0.0286
5/27/2026,-0.0199,0.0081
5/28/2026,-0.0028,0.0053
5/29/2026,-0.0060,-0.0008
6/1/2026,-0.0047,-0.0054
6/2/2026,0.0131,0.0076
6/3/2026,-0.0310,-0.0237
6/4/2026,-0.0181,-0.0413
6/5/2026,-0.0028,-0.0440
6/8/2026,0.0627,0.0160
6/9/2026,-0.0127,0.0030
6/11/2026,-0.0390,-0.0361
6/12/2026,0.0083,-0.0281
6/15/2026,-0.0134,-0.0411
06/16/2026,-0.0001,-0.0412
